crop_filename,source_image,gt_label,pred_label,best_iou,correct
Snap_006_cell_3.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,,0.035,FALSE
Snap_006_cell_4.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.899,TRUE
Snap_006_cell_5.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.868,TRUE
Snap_006_cell_6.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.919,TRUE
Snap_006_cell_8.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.938,TRUE
Snap_006_cell_9.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.819,TRUE
Snap_006_cell_10.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,,0,FALSE
Snap_006_cell_11.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.905,TRUE
Snap_006_cell_12.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.966,TRUE
Snap_006_cell_13.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.942,TRUE
Snap_006_cell_14.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.914,TRUE
Snap_006_cell_15.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.841,TRUE
Snap_006_cell_16.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.879,TRUE
Snap_006_cell_17.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.898,TRUE
Snap_006_cell_18.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,,0,FALSE
Snap_006_cell_19.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,,0,FALSE
Snap_006_cell_20.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,,0,FALSE
Snap_006_cell_21.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,,0,FALSE
Snap_006_cell_22.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.911,TRUE
Snap_006_cell_23.bmp,ALL_resized/23BM66/Snap_006.jpg,HEM,HEM,0.872,TRUE
Snap_006_cell_17.bmp,ALL_resized/23BM92/Snap_006.jpg,HEM,HEM,0.941,TRUE
Snap_006_cell_31.bmp,ALL_resized/23BM92/Snap_006.jpg,HEM,HEM,0.893,TRUE
Snap_006_cell_38.bmp,ALL_resized/23BM92/Snap_006.jpg,HEM,HEM,0.96,TRUE
Snap_006_cell_73.bmp,ALL_resized/23BM92/Snap_006.jpg,HEM,HEM,0.924,TRUE
Snap_006_cell_82.bmp,ALL_resized/23BM92/Snap_006.jpg,HEM,HEM,0.937,TRUE
Snap_006_cell_93.bmp,ALL_resized/23BM92/Snap_006.jpg,HEM,,0,FALSE
Snap_006_cell_106.bmp,ALL_resized/23BM92/Snap_006.jpg,ALL,,0,FALSE
Snap_006_cell_4.bmp,ALL_resized/23BMCN/Snap_006.jpg,HEM,,0.655,FALSE
Snap_006_cell_5.bmp,ALL_resized/23BMCN/Snap_006.jpg,ALL,,0,FALSE
Snap_006_cell_6.bmp,ALL_resized/23BMCN/Snap_006.jpg,ALL,,0,FALSE
Snap_006_cell_7.bmp,ALL_resized/23BMCN/Snap_006.jpg,ALL,ALL,0.848,TRUE
Snap_006_cell_8.bmp,ALL_resized/23BMCN/Snap_006.jpg,HEM,,0.046,FALSE
Snap_006_cell_9.bmp,ALL_resized/23BMCN/Snap_006.jpg,ALL,,0,FALSE
Snap_006_cell_11.bmp,ALL_resized/23BMCN/Snap_006.jpg,ALL,ALL,0.924,TRUE
Snap_006_cell_12.bmp,ALL_resized/23BMCN/Snap_006.jpg,HEM,,0,FALSE
Snap_006_cell_14.bmp,ALL_resized/23BMCN/Snap_006.jpg,HEM,HEM,0.926,TRUE
